rank,finalWorth,category,personName,age,country,source,industries,selfMade,gender,gross_tertiary_education_enrollment,life_expectancy_country,gdp_country,population_country
1516,2000,Finance & Investments,Alexander Mamut,63.0,Israel,Investments,Finance,True,M,63.4,82.8,"$395,098,666,122 ",9053300.0
1516,2000,Telecom,Craig McCaw,73.0,United States,Telecom,Telecom,False,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1516,2000,Manufacturing,Cunhui Nan,59.0,China,Power equipment,Manufacturing,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Service,Tengyun Nie & family,47.0,China,Logistics,Service,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
1516,2000,Finance & Investments,Oei Hong Leong,75.0,Singapore,Investments,Finance,False,M,84.8,83.1,"$372,062,527,489 ",5703569.0
1516,2000,Metals & Mining,Clive Palmer,69.0,Australia,Mining,Mining,True,M,113.1,82.7,"$1,392,680,589,329 ",25766605.0
1516,2000,Technology,Matthew Prince,48.0,United States,Cybersecurity,Technology,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1516,2000,Service,Linda Pritzker,69.0,United States,"Hotels, investments",Service,False,F,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1516,2000,Construction & Engineering,P.V. Krishna Reddy,53.0,India,Infrastructure,Construction,True,M,28.1,69.4,"$2,611,000,000,000 ",1366417754.0
1516,2000,Metals & Mining,Bianca Rinehart,46.0,Australia,Mining,Mining,False,F,113.1,82.7,"$1,392,680,589,329 ",25766605.0
1516,2000,Metals & Mining,Ginia Rinehart,36.0,Australia,Mining,Mining,False,F,113.1,82.7,"$1,392,680,589,329 ",25766605.0
1516,2000,Finance & Investments,T. Denny Sanford,87.0,United States,"Banking, credit cards",Finance,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
1516,2000,Manufacturing,Bhadresh Shah,71.0,India,Engineering,Manufacturing,True,M,28.1,69.4,"$2,611,000,000,000 ",1366417754.0
